file,lines,Obj,legacy_json,member_reads,serde_decode
api/src/context.rs,114,2,3,0,0
api/src/main.rs,138,0,2,0,0
controller/gitea/src/adapter.rs,168,0,2,0,0
controller/gitea/src/lib.rs,98,0,2,0,0
controller/gitea/src/live.rs,269,0,2,0,0
controller/gitea/src/live/verify.rs,156,0,1,2,0
controller/gitea/src/source.rs,218,0,0,0,1
controller/github/src/lib.rs,719,0,4,0,1
controller/github/src/live.rs,275,0,2,0,0
controller/github/src/live/refresh.rs,290,0,0,0,1
controller/github/src/live/verify.rs,127,0,1,2,0
controller/gitlab/src/adapter.rs,235,0,4,0,0
controller/gitlab/src/live/refresh.rs,260,0,2,0,0
controller/gitlab/src/live/verify.rs,332,0,1,2,0
controller/gitlab/src/oidc/claims.rs,175,0,0,0,1
controller/probe/src/main.rs,137,0,2,0,0
controller/probe/src/select.rs,24,0,1,5,0
controller/service/src/config/files.rs,29,0,0,0,1
controller/service/src/config/relation.rs,162,0,1,0,1
controller/service/src/frame.rs,78,0,0,0,1
controller/service/src/relation.rs,198,0,2,0,0
controller/src/artifacts/format.rs,388,0,0,0,3
controller/src/artifacts/semantic.rs,128,0,3,3,1
controller/src/audit_report.rs,126,0,2,18,0
controller/src/bootstrap_job.rs,240,0,3,0,0
controller/src/bootstrap_job/controls.rs,346,0,5,0,0
controller/src/bootstrap_job/plan.rs,349,0,1,0,0
controller/src/bootstrap_job/semantic.rs,199,0,3,0,0
controller/src/bounded_json.rs,39,0,0,0,1
controller/src/external.rs,171,0,1,8,0
controller/src/feedback.rs,190,0,2,0,0
controller/src/file_ledger/frame.rs,108,0,0,0,1
controller/src/intersphinx.rs,288,0,1,0,0
controller/src/mdbook.rs,211,0,3,0,0
controller/src/mdbook/context.rs,336,0,1,10,0
controller/src/orchestration/controller/helpers.rs,427,0,7,7,0
controller/src/provider.rs,149,0,2,0,0
controller/src/publication_audit.rs,87,0,0,1,0
controller/src/relation_audit.rs,157,0,2,1,0
controller/src/relations.rs,342,0,0,1,0
crates/amiss-bootstrap/src/build.rs,177,0,1,0,0
crates/amiss-bootstrap/src/sealed.rs,228,0,1,0,0
crates/amiss-bootstrap/src/supervise.rs,393,0,1,0,0
crates/amiss-scan/src/evaluate.rs,297,0,1,0,0
crates/amiss-scan/src/evaluate/claims.rs,211,0,1,0,0
crates/amiss-scan/src/evaluate/control.rs,168,0,1,0,0
crates/amiss-scan/src/evaluate/debt.rs,104,0,1,0,0
crates/amiss-scan/src/evaluate/finding.rs,312,0,1,0,0
crates/amiss-scan/src/evaluate/model.rs,224,0,1,0,0
crates/amiss-scan/src/evaluate/projections.rs,143,0,1,0,0
crates/amiss-scan/src/evaluate/run.rs,408,0,1,0,0
crates/amiss-scan/src/evaluate/waiver.rs,136,0,1,0,0
crates/amiss-scan/src/observe.rs,357,0,1,0,0
crates/amiss-scan/src/policy/floor.rs,223,0,4,0,0
crates/amiss-scan/src/projection/inventory.rs,317,0,1,0,0
crates/amiss-scan/src/report.rs,181,0,1,0,0
crates/amiss-scan/src/report/analysis.rs,398,0,1,0,0
crates/amiss-scan/src/report/build.rs,479,0,1,0,0
crates/amiss-scan/src/report/documents.rs,228,0,1,0,0
crates/amiss-scan/src/report/identity.rs,354,0,1,0,0
crates/amiss-scan/src/report/summary.rs,299,0,1,0,0
crates/amiss-scan/src/request.rs,187,0,1,0,0
crates/amiss-scan/src/resolve/content.rs,129,0,1,0,0
crates/amiss-scan/src/semantic.rs,163,0,1,0,0
crates/amiss-scan/src/semantic/decode.rs,61,3,1,0,0
crates/amiss-scan/src/semantic/parse.rs,154,0,1,1,0
crates/amiss-scan/src/semantic/record.rs,40,0,1,0,0
crates/amiss-scan/src/semantic/site.rs,408,0,1,2,0
crates/amiss-wire/src/assessment.rs,113,4,1,0,0
crates/amiss-wire/src/bounded_envelope.rs,47,2,2,0,0
crates/amiss-wire/src/codec.rs,402,0,5,0,2
crates/amiss-wire/src/controls.rs,230,5,2,0,0
crates/amiss-wire/src/controls/debt.rs,148,3,0,0,0
crates/amiss-wire/src/controls/execution_constraint.rs,265,2,1,0,0
crates/amiss-wire/src/controls/floor.rs,231,2,0,0,0
crates/amiss-wire/src/controls/item.rs,296,11,1,0,0
crates/amiss-wire/src/controls/policy.rs,489,4,2,0,2
crates/amiss-wire/src/controls/resources.rs,101,0,1,0,0
crates/amiss-wire/src/controls/trusted_time.rs,228,2,1,0,0
crates/amiss-wire/src/controls/value.rs,38,0,1,0,0
crates/amiss-wire/src/controls/waiver.rs,164,3,0,0,0
crates/amiss-wire/src/de.rs,297,4,1,0,0
crates/amiss-wire/src/digest.rs,171,0,1,0,0
crates/amiss-wire/src/external.rs,118,0,1,5,0
crates/amiss-wire/src/external/assessment.rs,344,0,1,31,0
crates/amiss-wire/src/external/plan.rs,277,0,1,21,0
crates/amiss-wire/src/json.rs,72,0,0,1,0
crates/amiss-wire/src/locale.rs,303,7,1,0,0
crates/amiss-wire/src/locale/assessment.rs,845,0,1,2,0
crates/amiss-wire/src/locale/evidence.rs,311,6,1,0,0
crates/amiss-wire/src/manifest.rs,338,7,1,0,0
crates/amiss-wire/src/model/path.rs,151,0,1,0,0
crates/amiss-wire/src/publication.rs,369,9,1,0,0
crates/amiss-wire/src/publication/assessment.rs,241,2,1,2,0
crates/amiss-wire/src/publication/evidence.rs,146,3,1,0,0
crates/amiss-wire/src/relation.rs,120,0,0,0,1
crates/amiss-wire/src/relation/assessment.rs,167,0,0,0,1
crates/amiss-wire/src/relation/evidence.rs,57,0,0,0,1
crates/amiss-wire/src/report.rs,196,0,1,9,0
crates/amiss-wire/src/report/error.rs,271,0,1,0,0
crates/amiss-wire/src/report/failure.rs,262,0,1,0,0
crates/amiss-wire/src/report/fatal.rs,119,0,1,0,0
crates/amiss-wire/src/report/sandbox.rs,54,0,1,0,0
crates/amiss-wire/src/requests.rs,447,6,1,0,0
crates/amiss-wire/src/requests/evaluation.rs,295,2,1,0,0
crates/amiss-wire/src/semantic.rs,384,7,3,1,0
crates/amiss-wire/src/semantic/record.rs,119,3,1,0,0
crates/amiss/src/adopt.rs,184,0,2,0,0
crates/amiss/src/codequality.rs,48,0,1,5,0
crates/amiss/src/external.rs,103,0,1,0,0
crates/amiss/src/human.rs,336,0,1,25,0
crates/amiss/src/input.rs,36,0,2,0,0
crates/amiss/src/invocation/classify/authoring.rs,180,0,1,0,0
crates/amiss/src/junit.rs,199,0,1,13,0
crates/amiss/src/main.rs,514,0,5,0,0
crates/amiss/src/output.rs,28,0,2,0,0
crates/amiss/src/payload.rs,25,0,1,0,0
crates/amiss/src/policy_include.rs,88,0,2,0,0
crates/amiss/src/references.rs,128,0,3,14,0
crates/amiss/src/repair.rs,224,0,1,0,0
crates/amiss/src/sarif.rs,200,0,1,8,0
crates/amiss/src/view.rs,93,0,1,0,0
