updates_per_branch	trial	result
1	0	clean
1	1	clean
1	2	clean
1	3	clean
1	4	clean
1	5	clean
1	6	clean
1	7	clean
1	8	clean
1	9	clean
1	10	clean
1	11	clean
1	12	clean
1	13	clean
1	14	clean
1	15	clean
1	16	clean
1	17	clean
1	18	clean
1	19	clean
1	20	clean
1	21	clean
1	22	clean
1	23	clean
1	24	clean
1	25	clean
1	26	clean
1	27	clean
1	28	clean
1	29	clean
1	30	clean
1	31	clean
1	32	clean
1	33	clean
1	34	clean
1	35	clean
1	36	clean
1	37	clean
1	38	clean
1	39	clean
1	40	clean
1	41	clean
1	42	clean
1	43	clean
1	44	clean
1	45	clean
1	46	clean
1	47	clean
1	48	clean
1	49	clean
1	50	clean
1	51	clean
1	52	clean
1	53	clean
1	54	clean
1	55	clean
1	56	clean
1	57	clean
1	58	clean
1	59	clean
1	60	clean
1	61	clean
1	62	clean
1	63	clean
1	64	clean
1	65	clean
1	66	clean
1	67	clean
1	68	clean
1	69	clean
1	70	clean
1	71	clean
1	72	clean
1	73	clean
1	74	clean
1	75	clean
1	76	clean
1	77	clean
1	78	clean
1	79	clean
1	80	clean
1	81	clean
1	82	clean
1	83	clean
1	84	clean
1	85	clean
1	86	clean
1	87	clean
1	88	clean
1	89	clean
1	90	clean
1	91	clean
1	92	clean
1	93	clean
1	94	clean
1	95	clean
1	96	clean
1	97	clean
1	98	clean
1	99	clean
5	0	clean
5	1	clean
5	2	clean
5	3	clean
5	4	conflict
5	5	conflict
5	6	clean
5	7	clean
5	8	clean
5	9	clean
5	10	conflict
5	11	clean
5	12	conflict
5	13	clean
5	14	conflict
5	15	clean
5	16	clean
5	17	clean
5	18	clean
5	19	clean
5	20	clean
5	21	clean
5	22	clean
5	23	clean
5	24	clean
5	25	clean
5	26	conflict
5	27	clean
5	28	clean
5	29	clean
5	30	clean
5	31	clean
5	32	conflict
5	33	conflict
5	34	clean
5	35	clean
5	36	clean
5	37	clean
5	38	clean
5	39	clean
5	40	clean
5	41	clean
5	42	clean
5	43	clean
5	44	conflict
5	45	clean
5	46	clean
5	47	conflict
5	48	clean
5	49	clean
5	50	conflict
5	51	clean
5	52	clean
5	53	conflict
5	54	clean
5	55	clean
5	56	clean
5	57	clean
5	58	clean
5	59	clean
5	60	clean
5	61	clean
5	62	clean
5	63	clean
5	64	clean
5	65	conflict
5	66	clean
5	67	clean
5	68	clean
5	69	clean
5	70	clean
5	71	clean
5	72	clean
5	73	clean
5	74	clean
5	75	conflict
5	76	clean
5	77	clean
5	78	clean
5	79	clean
5	80	clean
5	81	clean
5	82	clean
5	83	clean
5	84	clean
5	85	clean
5	86	clean
5	87	clean
5	88	conflict
5	89	clean
5	90	conflict
5	91	clean
5	92	conflict
5	93	clean
5	94	clean
5	95	conflict
5	96	clean
5	97	clean
5	98	clean
5	99	clean
20	0	conflict
20	1	conflict
20	2	conflict
20	3	conflict
20	4	conflict
20	5	conflict
20	6	conflict
20	7	conflict
20	8	conflict
20	9	conflict
20	10	conflict
20	11	conflict
20	12	conflict
20	13	conflict
20	14	conflict
20	15	conflict
20	16	conflict
20	17	conflict
20	18	conflict
20	19	conflict
20	20	clean
20	21	conflict
20	22	conflict
20	23	conflict
20	24	conflict
20	25	conflict
20	26	conflict
20	27	conflict
20	28	conflict
20	29	conflict
20	30	conflict
20	31	conflict
20	32	conflict
20	33	conflict
20	34	conflict
20	35	conflict
20	36	conflict
20	37	conflict
20	38	conflict
20	39	conflict
20	40	conflict
20	41	conflict
20	42	conflict
20	43	conflict
20	44	conflict
20	45	conflict
20	46	conflict
20	47	conflict
20	48	conflict
20	49	conflict
20	50	conflict
20	51	conflict
20	52	conflict
20	53	conflict
20	54	conflict
20	55	conflict
20	56	conflict
20	57	conflict
20	58	conflict
20	59	conflict
20	60	conflict
20	61	conflict
20	62	conflict
20	63	conflict
20	64	conflict
20	65	conflict
20	66	conflict
20	67	conflict
20	68	conflict
20	69	conflict
20	70	conflict
20	71	conflict
20	72	conflict
20	73	conflict
20	74	conflict
20	75	conflict
20	76	conflict
20	77	conflict
20	78	conflict
20	79	conflict
20	80	conflict
20	81	conflict
20	82	conflict
20	83	conflict
20	84	conflict
20	85	conflict
20	86	conflict
20	87	conflict
20	88	conflict
20	89	conflict
20	90	conflict
20	91	conflict
20	92	conflict
20	93	conflict
20	94	conflict
20	95	conflict
20	96	conflict
20	97	conflict
20	98	conflict
20	99	conflict
