repository	url	commit
asciidoctor	https://github.com/asciidoctor/asciidoctor	30fb8cd5f7145c57274b04524ceaa99812f830e0
astro-docs	https://github.com/withastro/docs	c4c68af14995acede87ec0f03e797094d5c8c324
awesome-go	https://github.com/avelino/awesome-go	415e11de0684cf6846bc564b712165673421d32e
awesome	https://github.com/sindresorhus/awesome	bc98e517ddca672f55f9857d714fc3ea3c3540b2
awesome-python	https://github.com/vinta/awesome-python	fde943c5f2f6fa0128b12f68db9ddad7232d2e60
babel	https://github.com/babel/babel	fd665901dece022a0eda2ae7adda03bc9baabd5e
bat	https://github.com/sharkdp/bat	7323a7514f7601737640e7172be115127d6db08c
biome	https://github.com/biomejs/biome	b436ba00de298d5002a3d3bb1fae1d2a882f6d58
click	https://github.com/pallets/click	6aabf099bfdd4c1e75fe8d0e0d4241372b988ab1
cncf-glossary	https://github.com/cncf/glossary	03032a83592cb068fc2d5d1823d8f58fd7599f37
comprehensive-rust	https://github.com/google/comprehensive-rust	12877851717714a86db8520ad7e56081a3666bf1
containerd.io	https://github.com/containerd/containerd.io	7342376db0d0ee98356735535eeba16df285d1ec
content	https://github.com/mdn/content	5a81c288fb7213b2ca2180cda687500981ecf9e1
django	https://github.com/django/django	862ade3409ceaa8ec5305e6f5aa26ee0e553cf02
docsify	https://github.com/docsifyjs/docsify	a408e76cc9115ce40c54463acfb5f8b181f2f291
docusaurus	https://github.com/facebook/docusaurus	5215a33e576f5e027736e4e740260ef470a4de8c
eleventy-site	https://github.com/11ty/11ty-website	028e2555848ea8a08ece1ce268ee7d1335271427
etcd-website	https://github.com/etcd-io/website	81403a3295cf7521e2357dbdb7266d20c661f54e
fastapi	https://github.com/fastapi/fastapi	50113da16fec53b66b80d75e80a89296de4fa5a5
flask	https://github.com/pallets/flask	d73fa1cdcbd8b1465c151db8924ba58b1dd14e35
grafana	https://github.com/grafana/grafana	39703a2c01e37d6ef9f91147d1db29dd16c82611
grpc.io	https://github.com/grpc/grpc.io	516c96d2c1c04a141a619b9ffa3c7573ebee4f72
helix	https://github.com/helix-editor/helix	079a789e8cb08ead67f19e1971a1b7438b37354b
httpx	https://github.com/encode/httpx	b5addb64f0161ff6bfe94c124ef76f6a1fba5254
